rev,n,total,mean,sd
9804b7df68a,241,224,0.93,0.75
cca99359701,241,224,0.93,0.75
b7470440ffb,242,226,0.93,0.75
17a8ee57fe7,236,216,0.92,0.74
1dd0feacc7b,238,219,0.92,0.74
7658f8c151b,237,215,0.91,0.75
31d84d71d36,248,233,0.94,0.76
d721863382b,248,233,0.94,0.76
ca752e64fbf,248,233,0.94,0.76
74e329064ab,244,229,0.94,0.76
6efda51cc5c,244,229,0.94,0.76
0125b74b3cb,244,229,0.94,0.76
bd3b677b86d,245,229,0.93,0.76
6b01196fb23,248,234,0.94,0.75
525a8cd3e96,248,234,0.94,0.75
c72910a8bf7,249,234,0.94,0.76
e6002bdaffc,248,234,0.94,0.75
8045a81bcf5,249,234,0.94,0.76
d64090b8a90,248,234,0.94,0.75
a699ebdbcc1,252,234,0.93,0.76
2d0c3e4c6df,248,234,0.94,0.75
449380265ad,249,234,0.94,0.76
375caeefcfb,249,234,0.94,0.76
fa3cc1dd24f,252,234,0.93,0.76
eefb27f5ae0,253,234,0.92,0.76
b1f58fcaeab,252,234,0.93,0.76
61cfa2a7a6e,253,234,0.92,0.76
bb63459d537,252,234,0.93,0.76
3374027e3a4,253,234,0.92,0.76
ea9b3687db4,255,238,0.93,0.76
473efc82b68,253,234,0.92,0.76
71ab011a171,255,238,0.93,0.76
57f3409bcc6,256,240,0.94,0.76
b49cfbc1d54,258,244,0.95,0.77
29b0ac489b7,257,241,0.94,0.76
5b35000f162,258,244,0.95,0.77
718ec26a23e,265,248,0.94,0.76
4be12be62a9,267,247,0.93,0.77
e292d7c17b4,260,244,0.94,0.76
d0df8a6ff80,256,238,0.93,0.76
0359f1d9ec2,267,247,0.93,0.77
d55ade16861,257,239,0.93,0.76
94390fc7b42,258,240,0.93,0.75
e0df75de3fb,256,236,0.92,0.75
c351b8a3e53,256,236,0.92,0.75
ae33fdf297e,257,237,0.92,0.75
439cd3ebd36,258,238,0.92,0.75
67ccc8b52ac,256,232,0.91,0.71
1882baa1aaa,262,244,0.93,0.75
af5d0e9e92f,261,239,0.92,0.71
9d668750698,265,244,0.92,0.7
8688789353e,266,245,0.92,0.7
634cbd71380,266,245,0.92,0.7
a52936f36a8,266,245,0.92,0.7
bcc4e4dc7ed,277,252,0.91,0.71
71d67e6557a,278,253,0.91,0.71
68d146b4a69,279,253,0.91,0.71
37ff9d88ec0,279,253,0.91,0.71
c830bab79a8,279,253,0.91,0.71
038d40f0f5b,279,253,0.91,0.71
9ae26cd1281,279,253,0.91,0.71
5b40780290e,280,254,0.91,0.71
e12c9ee2bc7,279,253,0.91,0.71
439f399bece,255,227,0.89,0.71
ee13297af27,247,215,0.87,0.7
96f3a88c011,247,215,0.87,0.7
2ed7cbfba4f,247,251,1.02,0.83
3e09e6f7b80,249,254,1.02,0.82
112e919823a,247,251,1.02,0.82
6e550af1509,248,251,1.01,0.83
6a84d926724,283,258,0.91,0.71
ee890f2b2a6,251,257,1.02,0.83
acb402a1c1c,256,265,1.04,0.83
dc038a7108f,256,265,1.04,0.83
7a167cf1f74,257,266,1.04,0.82
132caae7344,256,263,1.03,0.82
cbe9f56afae,256,263,1.03,0.82
3d7194f0112,257,265,1.03,0.82
a7fab42b9cd,257,264,1.03,0.82
0d715bcd812,258,266,1.03,0.82
88c741dde06,261,271,1.04,0.82
4537623d12f,262,273,1.04,0.82
20397091f10,262,273,1.04,0.82
643a6e5824c,260,271,1.04,0.82
df9cbbc9244,260,271,1.04,0.82
2f6342978bf,259,270,1.04,0.83
055b60d4200,261,271,1.04,0.82
ac6180bcb04,260,270,1.04,0.83
4c8224ae1e9,262,275,1.05,0.83
05c988419f4,262,275,1.05,0.83
bd2b6f59445,263,276,1.05,0.83
d78b6ce4cc0,264,278,1.05,0.83
dd501aa7a79,265,279,1.05,0.83
13a66040300,265,279,1.05,0.83
0815098d3af,269,284,1.06,0.82
bd20ec1a341,269,284,1.06,0.82
b08608b261f,270,285,1.06,0.82
ac5842d970b,270,285,1.06,0.82
37383966ef3,272,287,1.06,0.82
7cc25205410,272,287,1.06,0.82
073a269831d,273,287,1.05,0.82
