language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.64  T=197.11 s (191.0 files/s, 16250.7 lines/s)"
JSON,./fixtures/emojis/index.json,0,0,33507
SQL,./db/structure.sql,6067,0,25533
SQL,./db/init_structure.sql,4625,0,22090
JSON,./fixtures/emojis/digests.json,0,0,12560
JSON,./public/-/emojis/2/emojis.json,0,0,10766
JSON,./public/-/emojis/1/emojis.json,0,0,10760
JSON,./spec/fixtures/lib/gitlab/import_export/complex/project.json,1,0,7612
YAML,./vendor/languages.yml,1,37,6565
Ruby,./spec/models/project_spec.rb,1842,32,5977
SASS,./app/assets/stylesheets/emoji_sprites.scss,1795,1,5401
JSON,./spec/fixtures/sentry/issue_latest_event_sample_response.json,0,0,5299
Ruby,./spec/models/user_spec.rb,1556,19,5058
XML,./spec/fixtures/junit/junit_with_three_testsuites_2.xml,1000,0,5010
Ruby,./spec/models/ci/build_spec.rb,1343,5,4259
JSON,./ee/spec/fixtures/security_reports/master/gl-api-fuzzing-report.json,0,0,3956
Ruby,./spec/models/merge_request_spec.rb,1158,4,3828
Ruby,./spec/models/ci/pipeline_spec.rb,1061,7,3614
JSON,./spec/frontend/pipelines/linked_pipelines_mock.json,0,0,3536
Ruby,./spec/requests/api/projects_spec.rb,1050,9,3420
YAML,./app/workers/all_queues.yml,0,4,3027
Ruby,./spec/services/notification_service_spec.rb,730,40,2895
Ruby,./spec/requests/api/users_spec.rb,911,6,2890
Ruby,./spec/requests/api/merge_requests_spec.rb,779,4,2615
Ruby,./ee/spec/models/project_spec.rb,737,9,2576
Ruby,./spec/models/repository_spec.rb,814,5,2551
Ruby,./spec/lib/gitlab/database/migration_helpers_spec.rb,640,9,2455
Ruby,./spec/models/group_spec.rb,704,21,2427
Ruby,./spec/lib/gitlab/ci/yaml_processor_spec.rb,490,5,2339
Ruby,./spec/services/ci/create_pipeline_service_spec.rb,465,10,2243
Ruby,./app/models/project.rb,593,166,2211
JSON,./spec/fixtures/lib/gitlab/import_export/group_exports/complex/group.json,0,0,2197
SASS,./ee/app/assets/stylesheets/startup/startup-dark.scss,2,3,2068
Ruby,./spec/services/quick_actions/interpret_service_spec.rb,648,15,2006
Ruby,./spec/lib/gitlab/git/repository_spec.rb,575,15,1968
JSON,./ee/spec/fixtures/security_reports/master/gl-dast-large-scanned-resources.json,0,0,1874
Javascript,./spec/frontend/jobs/mock_data.js,17,0,1857
Javascript,./spec/frontend/boards/stores/actions_spec.js,216,2,1807
JSON,./ee/spec/fixtures/security_reports/master/gl-dast-report.json,0,0,1774
Ruby,./spec/requests/api/groups_spec.rb,519,15,1748
SASS,./ee/app/assets/stylesheets/startup/startup-general.scss,2,3,1739
Ruby,./spec/controllers/projects/merge_requests_controller_spec.rb,494,6,1738
JSON,./ee/spec/fixtures/security_reports/master/gl-dast-report-multiple-sites.json,0,0,1733
Ruby,./spec/models/namespace_spec.rb,503,12,1706
Javascript,./ee/spec/frontend/vue_shared/security_reports/store/actions_spec.js,142,1,1673
Ruby,./spec/mailers/notify_spec.rb,436,3,1669
Ruby,./ee/spec/models/ee/namespace_spec.rb,443,5,1623
Ruby,./app/models/user.rb,423,213,1622
Javascript,./ee/spec/frontend/related_items_tree/store/actions_spec.js,159,0,1605
Ruby,./spec/requests/api/commits_spec.rb,445,24,1604
Ruby,./ee/spec/models/ee/user_spec.rb,477,7,1574
YAML,./.gitlab/ci/rules.gitlab-ci.yml,201,108,1530
Ruby,./spec/controllers/projects/issues_controller_spec.rb,438,6,1507
Ruby,./ee/spec/policies/project_policy_spec.rb,459,5,1500
Javascript,./spec/frontend/api_spec.js,254,0,1454
JSON,./app/assets/javascripts/editor/schema/ci.json,0,0,1447
Ruby,./spec/requests/git_http_spec.rb,376,21,1439
Ruby,./app/models/merge_request.rb,387,165,1420
JSON,./ee/spec/fixtures/security_reports/master/gl-dast-report-low-severity.json,0,0,1419
Javascript,./spec/frontend/diffs/store/actions_spec.js,189,1,1393
Ruby,./spec/policies/project_policy_spec.rb,379,3,1376
Ruby,./ee/spec/policies/group_policy_spec.rb,447,5,1371
Javascript,./ee/spec/frontend/boards/stores/actions_spec.js,178,0,1367
Ruby,./ee/spec/models/license_spec.rb,428,1,1364
Ruby,./spec/controllers/projects_controller_spec.rb,387,3,1333
Ruby,./spec/models/environment_spec.rb,421,1,1329
Ruby,./ee/spec/models/approval_state_spec.rb,344,2,1303
YAML,./ee/app/workers/all_queues.yml,0,4,1298
JSON,./ee/lib/ee/gitlab/ci/parsers/security/validators/schemas/14.0.3/dast-report-format.json,0,0,1291
JSON,./ee/lib/ee/gitlab/ci/parsers/security/validators/schemas/14.0.4/dast-report-format.json,0,0,1291
JSON,./ee/lib/ee/gitlab/ci/parsers/security/validators/schemas/14.0.5/dast-report-format.json,0,0,1291
JSON,./ee/lib/ee/gitlab/ci/parsers/security/validators/schemas/14.1.0/dast-report-format.json,0,0,1291
JSON,./ee/lib/ee/gitlab/ci/parsers/security/validators/schemas/14.0.6/dast-report-format.json,0,0,1291
Javascript,./spec/frontend/notes/stores/actions_spec.js,206,15,1272
Javascript,./app/assets/javascripts/deprecated_notes.js,228,288,1263
Javascript,./spec/frontend/notes/mock_data.js,25,1,1262
JSON,./ee/lib/ee/gitlab/ci/parsers/security/validators/schemas/14.0.2/dast-report-format.json,0,0,1258
Ruby,./ee/spec/models/ee/group_spec.rb,375,15,1240
Ruby,./spec/lib/gitlab/usage_data_spec.rb,218,4,1240
Ruby,./spec/models/note_spec.rb,385,3,1239
